Room_ID,Temperature (C),Humidity (%),Air_Flow (CFM),Pressure (Pa),Energy_Consumption (kWh),Occupancy,Date_Logged,CO2_Level (ppm),System_Status,Set_Point (F),Filter_Change_Date,Comments
R50,23.241785382528082,63.99355436586002,316.24108625128093,100371.0962210613,10.68253197517533,7.0,2023-01-01 00:00:00,442.1328855130536,Off,65.2294115922119,2022-06-01 00:00:00,
R2,21.654339247072038,59.246336829127685,342.7740664642241,100894.80749461024,14.84398255530458,0.0,2023-01-01 01:00:00,413.58094597383104,On,62.36765339902462,2022-06-01 07:00:00,None
,,50.59630369920174,310.37900395000196,101118.19723328917,15.090084360222233,7.0,2023-01-01 02:00:00,359.0783840048033,ON,73.58121428930794,2022-06-01 14:00:00,
R90,25.807574641020064,43.53063222294426,334.601923518048,102268.8438286701,17.36315172921703,5.0,2023-01-01 03:00:00,400.5473908173522,ON,74.83522662742617,2022-06-01 21:00:00,N/A
R46,21.41461656319166,56.982233136135896,255.31926665231072,101603.27656226688,8.165708183595868,3.0,2023-01-01 04:00:00,452.34613698279423,on,80.55570322774507,,
R79,twenty-two,53.934853854217494,360.66468536864693,100657.25921545006,17.962836369236655,7.0,2023-01-01 05:00:00,334.8137684487467,OFF,75.84215534995212,2022-06-02 11:00:00,
R76,25.948032038768478,58.95193220027733,350.0602737681112,101568.01814470883,1.4780418419861245,2.0,2023-01-01 06:00:00,360.13277221805106,on,81.59780042984822,2022-06-02 18:00:00,needs inspection
R52,23.918586822882272,56.351718016819696,309.14556844659046,100551.34800553082,11.850577238180948,3.0,2023-01-01 07:00:00,352.6362457479096,off,73.77777092667989,2022-06-03 01:00:00,needs inspection
R9,20.82631403516262,60.49552715319335,382.96228342162027,101866.34552694354,12.558630787742278,5.0,2023-01-01 08:00:00,416.3198277743455,ON,66.3186488066032,2022-06-03 08:00:00,needs inspection
R15,23.356400108964912,44.64764788439432,396.8785068813279,101089.43767409107,18.166634130356194,6.0,2023-01-01 09:00:00,462.02580398074804,OFF,76.11093528085811,2022-06-03 15:00:00,ok
R46,20.841455767968846,fifty,269.6220067815513,101278.18190563041,,3.0,2023-01-01 10:00:00,299.51327673469945,Off,78.6715654975991,2022-06-03 22:00:00,None
R24,20.835675616074358,51.975996046923996,311.8637610716893,101987.89832377109,7.972184730718567,3.0,2023-01-01 11:00:00,404.7199281739292,on,73.95542198955786,2022-06-04 05:00:00,
R58,22.604905678915085,70.75260872625265,311.5428825106351,100681.41821570788,10.075034370914924,6.0,2023-01-01 12:00:00,353.7889641362408,Off,79.2527523267787,2022-06-04 12:00:00,ok
R77,17.216799388355504,43.10812181910432,303.0048449445568,100626.44090744351,15.993400047737035,5.0,2023-01-01 13:00:00,450.27013874149924,Off,nan,2022-06-04 19:00:00,needs inspection
R73,17.687705418717417,67.3596380316525,391.47374209658744,101033.200336827,14.604663290677218,7.0,2023-01-01 14:00:00,388.1515862214373,Off,74.72949558557661,2022-06-05 02:00:00,
R14,20.594281176897567,51.979107834626475,340.3086930613598,101844.18942550966,12.104379451821268,0.0,2023-01-01 15:00:00,406.5336969538699,on,71.12833959329065,2022-06-05 09:00:00,ok
R35,19.46792219916394,43.48581996385552,336.77425793446946,100565.32696226158,12.595831052440104,9.0,2023-01-01 16:00:00,399.933150239897,off,83.89521795698552,2022-06-05 16:00:00,N/A
R23,22.785618331488184,45.16114165945678,249.80688177966232,99908.92220094471,18.480839985796443,6.0,2023-01-01 17:00:00,456.2109401594922,on,76.20630343163606,2022-06-05 23:00:00,needs inspection
R14,19.72993981119697,46.7965269180568,381.77090151046133,101099.4205707955,12.411537135653926,6.0,2023-01-01 18:00:00,502.43157653988914,On,66.41647434574396,2022-06-06 06:00:00,ok
R12,18.46924074666177,54.241659464019165,288.03708025732635,101600.87039995546,14.559543779854634,6.0,2023-01-01 19:00:00,343.26673350592796,ON,81.2629873423731,2022-06-06 13:00:00,N/A
R3,25.664121922303885,55.228354880355,352.9966315133164,101925.13087486941,25.849682940402715,6.0,2023-01-01 20:00:00,352.3721941002674,on,68.33410120821306,2022-06-06 20:00:00,needs inspection
R71,21.43555924878366,44.26299996061421,363.8688468979096,101093.4193189573,7.881586815580385,9.0,2023-01-01 21:00:00,416.0748951277354,on,72.0684797978327,2022-06-07 03:00:00,None
R5,22.168820511719808,49.756454077390174,418.03292979193253,101119.286696442,5.740786342126707,9.0,2023-01-01 22:00:00,359.1798825849041,off,74.3415039791283,2022-06-07 10:00:00,needs inspection
R44,18.43812953446636,71.42270358611864,284.5589800440444,101901.95036712788,18.917948323993034,7.0,2023-01-01 23:00:00,446.6791885200137,On,74.74995987421828,2022-06-07 17:00:00,None
R97,20.639043188687044,67.27543170100711,199.02439220895874,100390.1291501523,11.606784693529484,8.0,2023-01-02 00:00:00,,on,74.41861111744198,2022-06-08 00:00:00,None
R44,22.277306474274667,54.36323669674032,,,13.408812361286898,,2023-01-02 01:00:00,372.6711843876771,ON,66.33477247330273,2022-06-08 07:00:00,None
R90,19.122516056444244,50.380034781682,440.0255590755427,101420.21194496253,,1.0,2023-01-02 02:00:00,361.82313666792624,ON,74.43517317581055,2022-06-08 14:00:00,
,22.93924504586418,51.200313267182615,411.9473176469719,101549.60936064251,13.700999296162438,6.0,2023-01-02 03:00:00,386.26104891736406,,77.50322968567852,2022-06-08 21:00:00,
R83,20.49840327520299,56.13517972730416,360.4829707637313,101070.09665340456,22.992690560481705,6.0,2023-01-02 04:00:00,,Off,77.35932014997078,2022-06-09 04:00:00,None
R44,21.27076562551681,39.77207434801595,325.4181907183976,101342.22050585292,19.010642293090598,3.0,2023-01-02 05:00:00,415.7418594947596,Off,65.49093703273981,2022-06-09 11:00:00,N/A
R89,20.495733469426508,47.42623462576655,390.35612983186553,100080.83632329351,19.311117559434884,8.0,2023-01-02 06:00:00,287.3591470475415,On,68.72173559259485,2022-06-09 18:00:00,None
R87,26.630695461272346,33.314159261224106,301.3226900147766,100995.87579383308,7.918864721036773,7.0,2023-01-02 07:00:00,351.62722405749406,,66.7773917689956,2022-06-10 01:00:00,ok
R83,21.966256938155166,53.992231226052795,373.817888467811,101551.75435627723,9.244231317235654,0.0,2023-01-02 08:00:00,379.7950325564708,Off,73.69906496000225,2022-06-10 08:00:00,None
R63,19.35572267761025,56.47195939702741,375.2735079583313,100833.85298287266,0.8046067025728654,1.0,2023-01-02 09:00:00,360.15053341265565,,64.2417610877622,2022-06-10 15:00:00,
R74,24.05636228025797,45.16813537700626,,,10.95309589458623,1.0,2023-01-02 10:00:00,,On,66.38628613859265,2022-06-10 22:00:00,
R70,18.947890875072446,,487.9830019455539,101548.43625040136,19.783515931928292,7.0,2023-01-02 11:00:00,305.5813767322653,On,68.67432505174385,2022-06-11 05:00:00,ok
R3,22.52215898751189,37.74234336997659,369.6207983589384,101153.72539957112,17.584732578741853,0.0,,334.73207372078167,Off,63.01604943884639,2022-06-11 12:00:00,ok
R83,17.100824690300563,35.3562511979018,324.5518187146251,101410.23188549829,13.89243368523938,3.0,2023-01-02 13:00:00,394.2357899573391,on,71.86100448070451,2022-06-11 19:00:00,needs inspection
R73,18.679534877753923,52.24451818559972,348.7212843904003,100843.63371735769,14.888498581409735,9.0,2023-01-02 14:00:00,378.1898903259345,OFF,61.46752380495953,2022-06-12 02:00:00,N/A
R63,22.492153089672808,60.470983026121544,261.54620475554407,101221.69436015197,11.555572287122972,4.0,2023-01-02 15:00:00,368.4215458735713,off,74.42672384771767,2022-06-12 09:00:00,N/A
,23.846166449988527,66.83927691457869,315.26434344554707,101630.10808479461,16.02379441200892,,2023-01-02 16:00:00,439.825748039642,OFF,70.01489180665563,2022-06-12 16:00:00,N/A
R72,22.428420702974925,45.4111573713106,329.5358780943448,101403.48648048422,18.829391397403075,6.0,2023-01-02 17:00:00,439.8066832461881,OFF,68.88008396381778,2022-06-12 23:00:00,
R25,21.7108792940294,60.78680833431296,323.79558010327037,101031.73436521803,6.9205660629476355,,2023-01-02 18:00:00,407.4959326740937,ON,69.69625689215371,2022-06-13 06:00:00,N/A
R99,21.247240761026777,49.61491530499293,357.6177436016861,101437.10820214539,16.49823843918674,8.0,2023-01-02 19:00:00,406.0060141359329,On,71.6980695385231,2022-06-13 13:00:00,needs inspection
R23,18.30369502408143,,308.87900338088997,101682.3048953183,19.662174354773335,6.0,2023-01-02 20:00:00,357.16697245332944,ON,74.96433091371559,2022-06-13 20:00:00,needs inspection
R89,,58.83659937486672,406.05153336622357,100300.02936071125,12.924498555183153,4.0,2023-01-02 21:00:00,363.1503834671736,Off,78.5854863679856,2022-06-14 03:00:00,N/A
R77,20.848403072600533,56.5232287841342,350.01035324590987,101904.53703247795,18.503503060602917,4.0,2023-01-02 22:00:00,314.61753084373913,off,77.06952907607477,2022-06-14 10:00:00,ok
R65,24.642805565547288,34.236078430157505,349.5349839430693,101156.87263065946,29.073272222362764,9.0,2023-01-02 23:00:00,387.46242841108347,Off,83.15844161388308,2022-06-14 17:00:00,needs inspection
R57,22.859045723921152,64.76540349725896,333.6052641743541,101537.74496662011,,5.0,,439.2870644855598,on,75.37648604688725,2022-06-15 00:00:00,ok
R32,17.592399611593166,63.800913541474515,357.75953419294893,101923.62346182262,16.966535250026617,4.0,2023-01-03 01:00:00,467.716494838728,off,72.70157551186966,2022-06-15 07:00:00,
R53,22.810209923486987,43.74437298490471,391.2549132333817,100639.16315138477,15kWh,8.0,2023-01-03 02:00:00,387.76100710472684,ON,69.71484090334185,2022-06-15 14:00:00,needs inspection
R41,21.03729429895921,53.95803533437409,306.643489214455,100970.27949878623,15.906255813010253,2.0,2023-01-03 03:00:00,424.58344160048455,ON,69.88100521528735,2022-06-15 21:00:00,ok
R37,20.307694999235103,54.94030186282739,317.0941755462372,,17.30135812491152,2.0,2023-01-03 04:00:00,257.2005378569402,Off,74.69519013282961,2022-06-16 04:00:00,N/A
R97,23.529190722102168,52.60673765823907,334.81369856116675,100933.12323943779,15.97421170135069,6.0,2023-01-03 05:00:00,378.3535839800788,ON,67.00277929110898,2022-06-16 11:00:00,
R36,24.577498806239877,44.4969484615458,282.70645382633927,102192.46828791841,9.901523401455716,6.0,2023-01-03 06:00:00,377.18188099333685,ON,73.14488069595969,2022-06-16 18:00:00,None
R37,24.328200297790495,43.283766320619485,309.0371070139251,100896.6139530866,16.031808856627254,5.0,2023-01-03 07:00:00,474.55841571126916,OFF,71.90567552098058,2022-06-17 01:00:00,None
,19.901956191943405,49.744459290085544,326.18895632276707,101047.22661025656,22.310979693588184,2.0,2023-01-03 08:00:00,419.6466730460709,on,68.35951471748857,2022-06-17 08:00:00,N/A
R72,21.226969060371964,61.72729019259364,393.71945903563636,101427.19451580149,17.243178822572638,6.0,,424.71277114403034,OFF,66.7440485351691,2022-06-17 15:00:00,
R8,22.82815857850891,55.43600154594432,363.12806645009624,100723.92523696195,19.809935945359207,4.0,2023-01-03 10:00:00,422.11641554994964,ON,84.6235875086592,2022-06-17 22:00:00,
,,46.29385667913894,359.6794955683772,101127.15964412187,13.814940149936861,,2023-01-03 11:00:00,402.2721366166111,On,65.01714416890854,2022-06-18 05:00:00,
R97,20.802064405386776,57.716987106483444,392.5448981083986,101483.72663062508,18.74950119711855,1.0,2023-01-03 12:00:00,476.61826654245647,OFF,71.66120717826692,2022-06-18 12:00:00,
R52,21.53585255834046,21.514573793699245,343.13141058003015,101158.56979780874,16.396339191082628,5.0,2023-01-03 13:00:00,284.73602260174636,ON,78.11291904078602,2022-06-18 19:00:00,None
R59,19.234162564984928,61.48765700372103,369.5232424964445,101278.30657055002,10.245446351563839,7.0,2023-01-03 14:00:00,407.3105204357709,ON,74.6452843246414,2022-06-19 02:00:00,ok
R46,,32.60286221221901,344.8389123533752,101060.33394377581,16.592605023994373,0.0,2023-01-03 15:00:00,456.49014258197815,on,69.6323222202217,2022-06-19 09:00:00,
R11,24.031314555985496,46.37559058596868,363.2681174699814,100567.76484540962,10.041516682798449,3.0,2023-01-03 16:00:00,,Off,66.03926432227331,2022-06-19 16:00:00,ok
R45,25.39060007142706,38.803301053738565,320.8620671194209,101485.79660566962,11.83559862557604,0.0,2023-01-03 17:00:00,441.8958926886151,off,72.64893221629762,2022-06-19 23:00:00,
R99,21.819974696049165,37.053185242790946,228.05914208617855,102202.46653582362,15.94664153646187,0.0,2023-01-03 18:00:00,361.94183793673415,OFF,58.802423754325595,2022-06-20 06:00:00,
R100,24.50883224473006,61.608267873785195,,101334.20081539171,16.48622136690062,9.0,2023-01-03 19:00:00,405.49079644210207,OFF,72.84933530197934,2022-06-20 13:00:00,needs inspection
R7,22.904090062619087,45.32298798688109,421.137406804997,101437.63205862377,9.053837674614353,7.0,2023-01-03 20:00:00,360.9820309527287,OFF,72.1741329344727,2022-06-20 20:00:00,needs inspection
R32,20.387200613487188,53.46503881730716,396.31077011207964,101671.36137755842,20.26992885591438,,2023-01-03 21:00:00,447.9575838274511,ON,77.350609642633,,
R76,22.903489013771036,49.53079421120816,398.2698742295585,100690.33475172665,17.860031391502364,9.0,2023-01-03 22:00:00,385.5819059388217,on,66.28330128457783,2022-06-21 10:00:00,ok
R66,25.845091416164923,54.770408272231215,411.8065360903109,102176.2573290648,11.47635782194558,0.0,2023-01-03 23:00:00,442.2898428178606,ON,70.38264300076968,2022-06-21 17:00:00,None
R73,21.91043490222512,50.768218910602556,354.43287954807187,101426.1643982114,7.312076017754123,1.0,2023-01-04 00:00:00,421.76649181321704,ON,74.18450823418759,2022-06-22 00:00:00,N/A
R61,25.911609139535017,37.1700777581143,359.86578537027975,102140.92844954456,14.275477104592843,3.0,,360.3103757970581,,73.02783879351782,2022-06-22 07:00:00,None
R25,15.450637239775638,59.9626681944714,319.1174052282825,100958.483502238,12.7702814306942,0.0,2023-01-04 02:00:00,425.0929595197763,On,65.2867675154479,2022-06-22 14:00:00,
,24.05475626093806,45.06243416838687,,102234.03096127891,15.565702285265115,2.0,2023-01-04 03:00:00,366.8215470993634,on,68.76249134808059,2022-06-22 21:00:00,needs inspection
R79,22.217617670595427,34.434181013402494,380.7885574885571,101712.57774701739,13.184416694222168,7.0,2023-01-04 04:00:00,403.20640469199867,OFF,78.99955780115697,2022-06-23 04:00:00,needs inspection
R14,21.25248162383533,,410.1942218584408,,4.962715696274952,7.0,,384.67028192551,off,73.29663192645558,2022-06-23 11:00:00,ok
R60,22.229401941338757,65.00759790634311,343.02768621595004,101442.01222717657,13.058265308494208,7.0,2023-01-04 06:00:00,444.9955933194387,OFF,nan,2022-06-23 18:00:00,
R17,17.03107771349777,,327.4905367574294,101200.73569096277,13.471904444658435,5.0,2023-01-04 07:00:00,427.0161135368709,ON,nan,2022-06-24 01:00:00,None
R97,21.45082028040622,46.51347865592141,350.0263979428299,101925.26582923693,18.168305123870294,5.0,2023-01-04 08:00:00,398.4639225697629,on,64.0036763697361,2022-06-24 08:00:00,
R56,22.892781428779365,46.50742295681571,380.0603374464557,101395.17993492402,,4.0,2023-01-04 09:00:00,,on,70.46489751193624,2022-06-24 15:00:00,
