Room_ID,Temperature (C),Humidity (%),Air_Flow (CFM),Pressure (Pa),Energy_Consumption (kWh),Occupancy,Date_Logged,CO2_Level (ppm),System_Status,Set_Point (F),Filter_Change_Date,Comments
R50,23.24178538252808,63.99355436586002,316.24108625128093,100371.0962210613,10.68253197517533,7.0,2023-01-01 00:00:00,442.1328855130536,Off,65.2294115922119,2022-06-01 00:00:00,
R46,21.41461656319166,56.982233136135896,255.31926665231072,,8.165708183595868,3.0,2023-01-01 04:00:00,452.34613698279423,on,80.55570322774507,,
R76,25.94803203876848,58.95193220027733,350.0602737681112,101568.01814470884,1.4780418419861243,2.0,2023-01-01 06:00:00,360.13277221805106,on,81.59780042984822,2022-06-02 18:00:00,needs inspection
R52,23.918586822882272,56.351718016819696,309.14556844659046,100551.34800553082,11.850577238180948,3.0,2023-01-01 07:00:00,352.6362457479096,,73.77777092667989,2022-06-03 01:00:00,needs inspection
R9,20.82631403516262,60.49552715319335,382.9622834216202,101866.34552694354,12.558630787742278,5.0,2023-01-01 08:00:00,416.3198277743455,ON,66.3186488066032,2022-06-03 08:00:00,needs inspection
R15,23.356400108964912,44.64764788439432,396.8785068813279,,18.166634130356197,6.0,,462.025803980748,OFF,76.11093528085811,2022-06-03 15:00:00,ok
R24,20.83567561607436,51.975996046924,311.8637610716893,101987.89832377108,7.972184730718567,3.0,2023-01-01 11:00:00,404.7199281739292,on,nan,2022-06-04 05:00:00,
R58,22.604905678915085,70.75260872625265,311.5428825106351,100681.41821570788,10.075034370914924,6.0,2023-01-01 12:00:00,353.7889641362408,Off,79.2527523267787,2022-06-04 12:00:00,ok
R77,17.216799388355504,43.10812181910432,303.0048449445568,100626.44090744352,15.993400047737037,5.0,2023-01-01 13:00:00,450.2701387414992,Off,nan,,needs inspection
R73,17.687705418717417,67.3596380316525,391.4737420965874,101033.200336827,14.604663290677218,7.0,2023-01-01 14:00:00,388.1515862214373,Off,74.72949558557661,2022-06-05 02:00:00,
R14,20.594281176897567,51.97910783462648,340.3086930613598,101844.18942550966,12.104379451821268,0.0,2023-01-01 15:00:00,406.5336969538699,on,71.12833959329065,2022-06-05 09:00:00,ok
R35,19.46792219916394,43.48581996385552,336.77425793446946,100565.32696226158,12.595831052440104,9.0,2023-01-01 16:00:00,399.933150239897,off,83.89521795698552,2022-06-05 16:00:00,
R23,22.785618331488184,45.16114165945678,249.80688177966232,99908.92220094473,18.480839985796443,6.0,,456.2109401594922,on,76.20630343163606,2022-06-05 23:00:00,needs inspection
